window_start,key,n_tracks,share
1961,10,44,0.06929133858267716
1961,11,28,0.04409448818897638
1962,0,112,0.1374233128834356
1962,1,55,0.06748466257668712
1962,2,103,0.1263803680981595
1962,3,31,0.03803680981595092
1962,4,78,0.09570552147239264
1962,5,81,0.09938650306748466
1962,6,24,0.029447852760736196
1962,7,109,0.13374233128834356
1962,8,35,0.04294478527607362
1962,9,99,0.12147239263803682
1962,10,47,0.05766871165644172
1962,11,41,0.05030674846625767
1963,0,153,0.13527851458885942
1963,1,70,0.0618921308576481
1963,2,146,0.1290893015030946
1963,3,35,0.03094606542882405
1963,4,123,0.10875331564986737
1963,5,100,0.08841732979664015
1963,6,34,0.030061892130857647
1963,7,157,0.138815207780725
1963,8,54,0.04774535809018567
1963,9,150,0.13262599469496023
1963,10,54,0.04774535809018567
1963,11,55,0.04862953138815208
1964,0,192,0.13852813852813853
1964,1,70,0.050505050505050504
1964,2,190,0.1370851370851371
1964,3,37,0.026695526695526696
1964,4,155,0.11183261183261184
1964,5,99,0.07142857142857142
1964,6,50,0.03607503607503607
1964,7,196,0.1414141414141414
1964,8,63,0.045454545454545456
1964,9,196,0.1414141414141414
1964,10,74,0.05339105339105339
1964,11,64,0.046176046176046176
1965,0,214,0.13009118541033435
1965,1,80,0.0486322188449848
1965,2,253,0.15379939209726443
1965,3,38,0.023100303951367782
1965,4,180,0.1094224924012158
1965,5,125,0.07598784194528875
1965,6,66,0.04012158054711246
1965,7,234,0.14224924012158055
1965,8,66,0.04012158054711246
1965,9,237,0.14407294832826747
1965,10,80,0.0486322188449848
1965,11,72,0.04376899696048632
1966,0,254,0.1309278350515464
1966,1,88,0.04536082474226804
1966,2,293,0.15103092783505154
1966,3,44,0.02268041237113402
1966,4,217,0.11185567010309279
1966,5,155,0.07989690721649484
1966,6,85,0.04381443298969072
1966,7,270,0.13917525773195877
1966,8,77,0.039690721649484534
1966,9,286,0.14742268041237114
1966,10,90,0.04639175257731959
1966,11,81,0.041752577319587626
1967,0,300,0.13767783386874713
1967,1,93,0.04268012849931161
1967,2,327,0.15006883891693437
1967,3,43,0.01973382285452042
1967,4,240,0.1101422670949977
1967,5,175,0.08031206975676916
1967,6,84,0.038549793483249196
1967,7,306,0.14043139054612208
1967,8,85,0.03900871959614502
1967,9,325,0.14915098669114274
1967,10,99,0.045433685176686556
1967,11,102,0.046810463515374025
1968,0,318,0.13935144609991235
1968,1,98,0.04294478527607362
1968,2,356,0.15600350569675722
1968,3,41,0.01796669588080631
1968,4,235,0.10297984224364592
1968,5,197,0.08632778264680105
1968,6,89,0.039000876424189306
1968,7,310,0.13584574934268187
1968,8,82,0.03593339176161262
1968,9,331,0.1450482033304119
1968,10,105,0.046012269938650305
1968,11,120,0.05258545135845749
1969,0,347,0.1410569105691057
1969,1,123,0.05
1969,2,351,0.14268292682926828
1969,3,47,0.019105691056910568
1969,4,246,0.1
1969,5,224,0.0910569105691057
1969,6,95,0.03861788617886179
1969,7,341,0.13861788617886178
1969,8,85,0.034552845528455285
1969,9,363,0.1475609756097561
1969,10,105,0.042682926829268296
1969,11,133,0.0540650406504065
1970,0,361,0.14399680893498204
1970,1,126,0.05025927403270842
1970,2,376,0.14998005584363783
1970,3,47,0.01874750698045473
1970,4,243,0.09692859992022337
1970,5,219,0.08735540486637415
1970,6,89,0.035500598324690866
1970,7,331,0.13203031511767052
1970,8,92,0.03669724770642202
1970,9,367,0.14639010769844435
1970,10,117,0.046669325887514955
1970,11,139,0.05544475468687674
1971,0,342,0.14273789649415694
1971,1,117,0.048831385642737896
1971,2,363,0.1515025041736227
1971,3,51,0.021285475792988316
1971,4,231,0.09641068447412354
1971,5,183,0.07637729549248748
1971,6,80,0.0333889816360601
1971,7,325,0.13564273789649417
1971,8,83,0.034641068447412354
1971,9,366,0.15275459098497496
1971,10,112,0.04674457429048414
1971,11,143,0.059682804674457426
1972,0,343,0.1452159187129551
1972,1,111,0.04699407281964437
1972,2,347,0.14690939881456394
1972,3,59,0.02497883149872989
1972,4,224,0.09483488569009314
1972,5,178,0.07535986452159187
1972,6,95,0.04022015241320914
1972,7,303,0.12828111769686706
1972,8,90,0.03810330228619814
1972,9,374,0.15834038950042337
1972,10,105,0.04445385266723116
1972,11,133,0.0563082133784928
1973,0,352,0.14666666666666667
1973,1,110,0.04583333333333333
1973,2,352,0.14666666666666667
1973,3,63,0.02625
1973,4,237,0.09875
1973,5,171,0.07125
1973,6,98,0.04083333333333333
1973,7,289,0.12041666666666667
1973,8,87,0.03625
1973,9,392,0.16333333333333333
1973,10,115,0.04791666666666667
1973,11,134,0.05583333333333333
1974,0,332,0.13873798579189303
1974,1,102,0.04262432093606352
1974,2,372,0.1554534057668199
1974,3,62,0.025908900961136648
1974,4,238,0.09945674885081487
1974,5,153,0.06393648140409527
1974,6,107,0.04471374843292938
1974,7,274,0.11450062682824906
1974,8,94,0.03928123694107814
1974,9,393,0.1642290012536565
