genre,window_start,window_end,window_label,n_tracks,major_share
bossa nova,2000,2004,2000_2004,48,0.4791666666666667
bossa nova,2001,2005,2001_2005,53,0.4716981132075472
bossa nova,2002,2006,2002_2006,74,0.5135135135135135
bossa nova,2003,2007,2003_2007,80,0.575
bossa nova,2004,2008,2004_2008,84,0.5833333333333334
bossa nova,2005,2009,2005_2009,81,0.5925925925925926
bossa nova,2006,2010,2006_2010,72,0.625
bossa nova,2007,2011,2007_2011,61,0.6229508196721312
bossa nova,2008,2012,2008_2012,49,0.5714285714285714
bossa nova,2009,2013,2009_2013,56,0.5714285714285714
bossa nova,2010,2014,2010_2014,72,0.5833333333333334
bossa nova,2011,2015,2011_2015,82,0.573170731707317
bossa nova,2012,2016,2012_2016,97,0.6391752577319587
bossa nova,2013,2017,2013_2017,103,0.6699029126213593
bossa nova,2014,2018,2014_2018,101,0.693069306930693
bossa nova,2015,2019,2015_2019,80,0.7125
brazilian rock,1982,1986,1982_1986,23,0.6521739130434783
brazilian rock,1983,1987,1983_1987,31,0.6451612903225806
brazilian rock,1984,1988,1984_1988,32,0.65625
brazilian rock,1985,1989,1985_1989,34,0.6764705882352942
brazilian rock,1986,1990,1986_1990,35,0.7428571428571429
brazilian rock,1987,1991,1987_1991,34,0.7647058823529411
brazilian rock,1988,1992,1988_1992,28,0.8214285714285714
brazilian rock,1989,1993,1989_1993,28,0.7857142857142857
brazilian rock,1990,1994,1990_1994,22,0.7727272727272727
brazilian rock,1991,1995,1991_1995,25,0.8
brazilian rock,1992,1996,1992_1996,25,0.76
brazilian rock,1993,1997,1993_1997,40,0.825
brazilian rock,1994,1998,1994_1998,45,0.8666666666666667
brazilian rock,1995,1999,1995_1999,51,0.8627450980392157
brazilian rock,1996,2000,1996_2000,48,0.8958333333333334
brazilian rock,1997,2001,1997_2001,47,0.8723404255319149
brazilian rock,1998,2002,1998_2002,35,0.8285714285714286
brazilian rock,1999,2003,1999_2003,36,0.75
brazilian rock,2000,2004,2000_2004,40,0.8
brazilian rock,2001,2005,2001_2005,49,0.673469387755102
brazilian rock,2002,2006,2002_2006,53,0.6981132075471698
brazilian rock,2003,2007,2003_2007,58,0.6724137931034483
brazilian rock,2004,2008,2004_2008,58,0.6724137931034483
brazilian rock,2005,2009,2005_2009,60,0.6166666666666667
brazilian rock,2006,2010,2006_2010,53,0.6226415094339622
brazilian rock,2007,2011,2007_2011,59,0.6271186440677966
brazilian rock,2008,2012,2008_2012,71,0.647887323943662
brazilian rock,2009,2013,2009_2013,78,0.6410256410256411
brazilian rock,2010,2014,2010_2014,82,0.6829268292682927
brazilian rock,2011,2015,2011_2015,93,0.6989247311827957
brazilian rock,2012,2016,2012_2016,86,0.686046511627907
brazilian rock,2013,2017,2013_2017,76,0.6842105263157895
brazilian rock,2014,2018,2014_2018,66,0.696969696969697
brazilian rock,2015,2019,2015_2019,49,0.6530612244897959
classic rock,1955,1959,1955_1959,26,0.9230769230769231
classic rock,1956,1960,1956_1960,28,0.9285714285714286
classic rock,1957,1961,1957_1961,26,0.8846153846153846
classic rock,1958,1962,1958_1962,32,0.9375
classic rock,1959,1963,1959_1963,48,0.9166666666666666
classic rock,1960,1964,1960_1964,83,0.8554216867469879
classic rock,1961,1965,1961_1965,188,0.824468085106383
classic rock,1962,1966,1962_1966,272,0.8014705882352942
classic rock,1963,1967,1963_1967,358,0.8044692737430168
classic rock,1964,1968,1964_1968,448,0.8080357142857143
classic rock,1965,1969,1965_1969,491,0.8024439918533605
classic rock,1966,1970,1966_1970,535,0.822429906542056
classic rock,1967,1971,1967_1971,521,0.8445297504798465
classic rock,1968,1972,1968_1972,508,0.8582677165354331
classic rock,1969,1973,1969_1973,506,0.8458498023715415
classic rock,1970,1974,1970_1974,474,0.8523206751054853
classic rock,1971,1975,1971_1975,397,0.8337531486146096
classic rock,1972,1976,1972_1976,381,0.8083989501312336
classic rock,1973,1977,1973_1977,364,0.782967032967033
classic rock,1974,1978,1974_1978,308,0.7792207792207793
classic rock,1975,1979,1975_1979,291,0.7560137457044673
classic rock,1976,1980,1976_1980,265,0.7509433962264151
classic rock,1977,1981,1977_1981,239,0.7531380753138075
classic rock,1978,1982,1978_1982,214,0.7336448598130841
classic rock,1979,1983,1979_1983,182,0.7362637362637363
classic rock,1980,1984,1980_1984,182,0.7747252747252747
classic rock,1981,1985,1981_1985,175,0.7428571428571429
classic rock,1982,1986,1982_1986,172,0.7441860465116279
classic rock,1983,1987,1983_1987,172,0.7674418604651163
classic rock,1984,1988,1984_1988,179,0.7877094972067039
classic rock,1985,1989,1985_1989,175,0.7657142857142857
classic rock,1986,1990,1986_1990,147,0.8095238095238095
classic rock,1987,1991,1987_1991,143,0.7902097902097902
classic rock,1988,1992,1988_1992,108,0.7777777777777778
classic rock,1989,1993,1989_1993,87,0.7241379310344828
classic rock,1990,1994,1990_1994,63,0.7777777777777778
classic rock,1991,1995,1991_1995,66,0.7575757575757576
classic rock,1992,1996,1992_1996,51,0.8235294117647058
classic rock,1993,1997,1993_1997,65,0.7846153846153846
classic rock,1994,1998,1994_1998,67,0.8208955223880597
classic rock,1995,1999,1995_1999,67,0.8059701492537313
classic rock,1996,2000,1996_2000,69,0.7536231884057971
classic rock,1997,2001,1997_2001,71,0.7183098591549296
classic rock,1998,2002,1998_2002,81,0.7037037037037037
classic rock,1999,2003,1999_2003,90,0.6666666666666666
classic rock,2000,2004,2000_2004,100,0.68
classic rock,2001,2005,2001_2005,100,0.72
classic rock,2002,2006,2002_2006,101,0.7623762376237624
classic rock,2003,2007,2003_2007,92,0.7717391304347826
classic rock,2004,2008,2004_2008,82,0.8048780487804879
classic rock,2005,2009,2005_2009,83,0.7951807228915663
classic rock,2006,2010,2006_2010,81,0.7901234567901234
classic rock,2007,2011,2007_2011,76,0.7631578947368421
classic rock,2008,2012,2008_2012,66,0.8181818181818182
classic rock,2009,2013,2009_2013,63,0.8095238095238095
classic rock,2010,2014,2010_2014,68,0.8088235294117647
classic rock,2011,2015,2011_2015,65,0.8461538461538461
classic rock,2012,2016,2012_2016,73,0.863013698630137
classic rock,2013,2017,2013_2017,79,0.8481012658227848
classic rock,2014,2018,2014_2018,108,0.8240740740740741
classic rock,2015,2019,2015_2019,118,0.864406779661017
country,1955,1959,1955_1959,23,0.9565217391304348
country,1956,1960,1956_1960,30,0.9666666666666667
country,1957,1961,1957_1961,36,0.9444444444444444
country,1958,1962,1958_1962,38,0.9473684210526315
country,1959,1963,1959_1963,37,0.9459459459459459
country,1960,1964,1960_1964,25,0.96
country,1961,1965,1961_1965,20,0.95
country,1964,1968,1964_1968,24,1.0
country,1965,1969,1965_1969,32,1.0
country,1966,1970,1966_1970,43,0.9767441860465116
country,1967,1971,1967_1971,52,0.9807692307692307
country,1968,1972,1968_1972,65,0.9538461538461539
country,1969,1973,1969_1973,61,0.9344262295081968
country,1970,1974,1970_1974,67,0.9104477611940298
country,1971,1975,1971_1975,65,0.9076923076923077
country,1972,1976,1972_1976,61,0.9016393442622951
country,1973,1977,1973_1977,52,0.8846153846153846
country,1974,1978,1974_1978,51,0.9019607843137255
country,1975,1979,1975_1979,41,0.9024390243902439
country,1976,1980,1976_1980,32,0.90625
country,1977,1981,1977_1981,27,0.8518518518518519
country,1978,1982,1978_1982,21,0.9047619047619048
country,1985,1989,1985_1989,20,0.95
country,1986,1990,1986_1990,24,0.9583333333333334
country,1987,1991,1987_1991,37,0.918918918918919
country,1988,1992,1988_1992,37,0.918918918918919
country,1989,1993,1989_1993,46,0.9347826086956522
country,1990,1994,1990_1994,50,0.92
country,1991,1995,1991_1995,69,0.8985507246376812
country,1992,1996,1992_1996,80,0.8875
country,1993,1997,1993_1997,105,0.9047619047619048
country,1994,1998,1994_1998,114,0.9035087719298246
country,1995,1999,1995_1999,120,0.9166666666666666
country,1996,2000,1996_2000,122,0.9180327868852459
country,1997,2001,1997_2001,114,0.9210526315789473
country,1998,2002,1998_2002,136,0.8823529411764706
country,1999,2003,1999_2003,129,0.8837209302325582
country,2000,2004,2000_2004,133,0.8646616541353384
country,2001,2005,2001_2005,147,0.8707482993197279
country,2002,2006,2002_2006,180,0.8888888888888888
country,2003,2007,2003_2007,174,0.896551724137931
country,2004,2008,2004_2008,208,0.9086538461538461
country,2005,2009,2005_2009,234,0.9145299145299145
country,2006,2010,2006_2010,269,0.9219330855018587
country,2007,2011,2007_2011,275,0.9127272727272727
country,2008,2012,2008_2012,299,0.919732441471572
country,2009,2013,2009_2013,325,0.9046153846153846
country,2010,2014,2010_2014,363,0.8953168044077136
country,2011,2015,2011_2015,352,0.8806818181818182
country,2012,2016,2012_2016,367,0.8719346049046321
country,2013,2017,2013_2017,394,0.8553299492385786
country,2014,2018,2014_2018,461,0.824295010845987
country,2015,2019,2015_2019,435,0.8022988505747126
death metal,1983,1987,1983_1987,20,0.8
