genre,period,n_tracks,danceability,energy,valence,tempo,duration_ms
post-hardcore,late,1516,0.4103075857519789,0.8695813984168865,0.3460056068601583,134.18086345646438,228430.15567282322
post-punk,late,1024,0.473421484375,0.7491429833984375,0.4468158203125,130.46506640625,239944.04296875
power metal,late,809,0.424159826946848,0.8664074165636588,0.3217882571075402,128.66388009888752,287186.1829419036
progressive metal,late,1142,0.3853660245183888,0.8094163747810857,0.26068756567425566,125.48040805604202,336882.9894921191
progressive rock,early,340,0.4045441176470588,0.5225785294117647,0.4605014705882353,119.52311764705883,322346.5
progressive rock,late,816,0.42064105392156864,0.6378974215686275,0.3026925245098039,123.28433946078431,307569.2708333333
psychedelic rock,early,263,0.44479087452471483,0.5350038022813688,0.48448859315589354,118.2108897338403,249574.2661596958
psychedelic rock,late,714,0.43363487394957984,0.6856834733893558,0.4256741036414566,121.72815966386555,274677.7086834734
punk,early,27,0.40066666666666667,0.7972222222222222,0.5614074074074075,126.0125185185185,246480.96296296295
punk,late,1538,0.46373400520156044,0.857367100130039,0.5240873211963589,135.85090637191158,195545.7275682705
rap,late,3577,0.6981520827509086,0.6574280802348336,0.4659805423539279,120.60177970366229,205670.89767961978
reggae,early,37,0.7401621621621621,0.4956486486486486,0.7435675675675676,115.8532162162162,216612.24324324325
reggae,late,583,0.7091938250428816,0.6490445969125214,0.6930210977701543,121.59042195540309,230745.6346483705
rock,early,118,0.527186440677966,0.5635288135593219,0.6366610169491526,119.84533050847458,189621.84745762713
rock,late,2883,0.4995032258064516,0.7379500173430454,0.46079819632327434,126.42412313562261,232333.28303850157
samba,early,92,0.5798369565217392,0.5973108695652174,0.7804130434782609,111.33446739130436,186448.36956521738
samba,late,356,0.621814606741573,0.610910393258427,0.694248595505618,115.5258679775281,216990.61797752808
shoegaze,late,1170,0.4078425641025641,0.6854323777777778,0.3315339401709401,124.16315299145299,255212.20085470084
singer-songwriter,early,262,0.4792595419847328,0.30961030534351147,0.4401145038167939,115.22051526717557,219215.97328244275
singer-songwriter,late,3107,0.5313819118120373,0.46323602220791765,0.38278612809784357,118.56940328290956,237125.1770196331
soft rock,early,65,0.5246307692307692,0.4419292307692308,0.5522461538461538,119.80204615384615,207453.0923076923
soft rock,late,176,0.566784090909091,0.5925056818181819,0.49203806818181817,120.9977840909091,240088.64772727274
soul,early,356,0.5613567415730337,0.47880814606741573,0.6284598314606741,117.76530056179776,199461.7584269663
soul,late,2362,0.5926553767993227,0.5626947375105843,0.46130889077053344,115.39637764606266,231190.11812023708
