feature,genre,n_valid_windows,first_window,last_window,first_value,last_value,last_minus_first,mean_value,median_value
danceability,soul,61,1955,2015,0.49119999999999997,0.5907542056074766,0.09955420560747663,0.596669028389261,0.5981744186046511
danceability,soundtrack,44,1965,2015,0.49290476190476185,0.4337964583333333,-0.059108303571428544,0.4346011782238614,0.43128930384790526
danceability,synthpop,41,1975,2015,0.61495,0.6001890179514255,-0.014760982048574456,0.5998871811952771,0.5984324324324324
danceability,thrash metal,37,1979,2015,0.257625,0.3534768867924528,0.09585188679245282,0.36863474824668163,0.3782705882352941
energy,alternative rock,37,1979,2015,0.6744066666666666,0.7388612561983471,0.06445458953168048,0.7282617550239996,0.7272382575757577
energy,ambient,43,1971,2015,0.32027449999999996,0.40308073705722075,0.08280623705722079,0.3822941613291347,0.3956192307692308
energy,black metal,36,1980,2015,0.78,0.8470887240356084,0.0670887240356084,0.827079455765297,0.8279689950980391
energy,blues,61,1955,2015,0.30415116279069765,0.5949550724637682,0.29080390967307057,0.4768826866723369,0.47953746268656716
energy,bossa nova,54,1960,2015,0.4305,0.40166250000000003,-0.02883749999999996,0.420234873563319,0.4056898496240601
energy,brazilian rock,34,1982,2015,0.6489565217391304,0.7432857142857143,0.0943291925465839,0.708304953805991,0.7431169950738916
energy,classic rock,61,1955,2015,0.6387307692307692,0.6042627118644067,-0.03446805736636249,0.6140616323218447,0.624890243902439
energy,country,53,1955,2015,0.4097391304347826,0.6307763218390805,0.2210371914042979,0.49566651094699116,0.5064074074074074
energy,death metal,33,1983,2015,0.94105,0.9434338028169014,0.002383802816901315,0.9274371399612785,0.9362857142857143
energy,disco,46,1970,2015,0.72285,0.7273438596491227,0.0044938596491227445,0.7172885911110576,0.7216392857142857
energy,doom metal,33,1983,2015,0.6257142857142858,0.7060308970099668,0.08031661129568102,0.6940333513812283,0.6982319672131149
energy,dream pop,34,1982,2015,0.5303478260869565,0.5894129283489097,0.05906510226195316,0.4889720318627125,0.46828334430546414
