window_start,window_end,window_label,n_tracks,n_genres,love,babi,want,blue,feel,man,well,like,pron,cri,yes,woman,life,let,light,breath,insid,everyth,never,old,fuck,littl,lose,sweet,away,one,take,wait,fall,darl,burn,alway,true,give,noth,make,end,blood,time,dark
1965,1969,1965_1969,1645,27,0.06107360783171294,0.042609700986909194,0.029431652317833307,0.01527298803651186,0.017137998439279815,0.026868002202602468,0.024527944374253006,0.02322007803064112,0.010277986925980689,0.017722220118866,0.017641961221166378,0.01474475857876181,0.015369830556720431,0.016039784629863076,0.008070375219889663,0.002196467859724079,0.0050318352657511296,0.008283608836759649,0.01714731604112761,0.015124272369039668,0.0,0.017191731818560707,0.009455663213058404,0.012039631349377812,0.014991435966745228,0.022208706459017943,0.022482090776515005,0.011699118708471918,0.008216406453571676,0.005886062935075741,0.003432471547393917,0.007990965679433807,0.009384269203073389,0.013469425465631768,0.010762833524971867,0.02300884991189693,0.007999241263058874,0.0017893296739929848,0.028555695260160906,0.006263555552021462
1966,1970,1966_1970,1940,30,0.05701820752868104,0.03629667415615366,0.02649658813058178,0.013718754248420712,0.01663928751355956,0.026975481672495267,0.023322025440055356,0.02324711096003314,0.011669033358543648,0.015497278802369717,0.015962908305360422,0.016291447770182453,0.016445680473792693,0.01798727292322418,0.008892057581694856,0.0022347739865002385,0.005141832903218958,0.008093926355813857,0.016574281861828393,0.014953981349363557,0.0,0.016197524790356837,0.009409903694900471,0.011652618766234883,0.015715903630796595,0.022446178736418042,0.024042155829214793,0.010661028734605607,0.009214971022352659,0.006431017475995229,0.004495739245109555,0.00852383284384602,0.008481159284816768,0.014300645609442672,0.01231810196986179,0.02301718656303304,0.00730843730268089,0.0020654434722297468,0.028140045515619463,0.006342720665737336
1967,1971,1967_1971,2179,30,0.05438375300946709,0.03420736878585377,0.024572070858402864,0.012982677467181746,0.016795134192268985,0.026928701721621495,0.024233265400589767,0.02352433792329706,0.012106765878708703,0.01496845841524711,0.014993968508999672,0.01611885907707542,0.016572845871279104,0.017564584890931993,0.009039580677858998,0.0025409697869206963,0.005693616049950342,0.008003128274503293,0.016778596834412105,0.01515490544471853,0.0,0.015561556014355694,0.009810816909954567,0.011199956741486904,0.016264343985797996,0.02305969041469362,0.023248339142617164,0.010035746676635052,0.009444714491677247,0.005694632740586427,0.005204576583167144,0.008717125125121303,0.00737984007471743,0.015534532497688183,0.012739744343612403,0.023468640619392345,0.007339732961712209,0.0023130077063335877,0.028122830912898293,0.006362749834048599
1968,1972,1968_1972,2282,31,0.05412862478348641,0.03431381850508756,0.02733437540098855,0.011525180059492223,0.017193762099833053,0.02767359486717248,0.02326872898161729,0.024864330746105782,0.012580671746353312,0.015112337204688183,0.01318163733371292,0.016441186120602583,0.017587617661426653,0.017867054032625,0.009108396227398478,0.0021931957270427535,0.006135659599045299,0.008460777916205484,0.016455419077502198,0.014167796661928357,0.0002589619619553949,0.015047734492312795,0.009923843016358309,0.011254498647802428,0.016773438049205402,0.023228273050523617,0.023102069275503814,0.008569120364745143,0.009523417656338042,0.005134885828208104,0.00507580843976505,0.008805083288488688,0.007270270695049806,0.01740427956292029,0.012055258007025248,0.02434714359646238,0.007704193809690532,0.0023177053255067533,0.02912684553762616,0.006341457752272042
1969,1973,1969_1973,2460,32,0.0519236894257671,0.033177252916953115,0.026803171924011934,0.011509905032827736,0.01751748113936998,0.02760082869221033,0.024183439709845028,0.026223411693316063,0.013058476439302193,0.015026499292547894,0.011539840950271062,0.015379829798854269,0.01742578051060768,0.01914807906002921,0.009899237905471193,0.002661747284656155,0.006042440861090205,0.008708274597995827,0.01731817093715164,0.015169309617356824,0.0004012335484860755,0.015214615804992646,0.010491301332283778,0.011282667660416926,0.017617766368319958,0.023220476170660715,0.02311652286237181,0.008477864416725295,0.009949541483105086,0.004917030066678283,0.005495178982875359,0.009132369681266265,0.006644464455819388,0.018642504312009686,0.01277893586139676,0.024344772122842723,0.00829686257490779,0.0023517422917503435,0.028584339750614852,0.006003926261173227
1970,1974,1970_1974,2507,32,0.051432902741625285,0.030170459193568467,0.026202006725796395,0.01128384034939203,0.017626834595534675,0.02507802324488136,0.025590894287176362,0.026886014828508952,0.013165020947279355,0.0132409269458969,0.011945429462408003,0.014200804268707134,0.01887531312116635,0.019789011480062083,0.010398939512627112,0.002551084480759461,0.006027329198199053,0.008411867755037796,0.017189804259321824,0.0149545669902692,0.00042607652050708633,0.014920993009149593,0.01042251495916182,0.011587666332684357,0.017734681024262837,0.023165004842737192,0.022964964884828812,0.008501622597792283,0.009908743828642699,0.004546411652137836,0.005713361872764386,0.010240305357501422,0.006371448424861876,0.01782188598668846,0.012496889048352748,0.024236551797107497,0.008714564358277228,0.002464485333155602,0.027911758492229082,0.00560062825006708
1971,1975,1971_1975,2396,33,0.05359148824056667,0.030254053110776773,0.026366554298478742,0.011856608810102594,0.01923029926385257,0.02483336504592328,0.024913906170254248,0.028214256939517172,0.01330283656253401,0.014119542208743008,0.010597231793673228,0.013507795699592495,0.019450295069574026,0.018033076333140705,0.010918733609638387,0.0027782800245151817,0.006318081484502874,0.009454490863789834,0.018959846335546246,0.015470418633563375,0.00044581545780937625,0.015363820209933212,0.010209472696761786,0.01209022453650601,0.01786000213495834,0.02447321059844279,0.023962296981575627,0.008396776568501107,0.009215528058539384,0.003945298354978139,0.005177889710315967,0.010565745438361744,0.006378721636423517,0.017871711020556676,0.012229518452418911,0.024867942992863084,0.009644817274247782,0.0022849274458980225,0.028098025003639997,0.006264198637471684
1972,1976,1972_1976,2362,34,0.055603706354540317,0.030535261423074257,0.027885222574790276,0.012543702363571258,0.020159249041027866,0.02472501183121553,0.024930176767369687,0.029150021643852927,0.014108463556474583,0.013608731018538798,0.010291148505350036,0.012813196562032243,0.020629486565768747,0.01903018064516792,0.011561929022125904,0.0028098989159788305,0.006192493392136814,0.00912833011715424,0.020145280873551233,0.016362221289314794,0.0004557691130332788,0.015696157915976932,0.00996677356766904,0.011771120387064259,0.018615025492442972,0.024512214266416893,0.02441704144762111,0.00828526083322199,0.009125921538907483,0.004090524679524033,0.004615404829546995,0.010907767395608838,0.007283940508204035,0.01795056065319028,0.011704354633393008,0.02400829379268901,0.009261783418082994,0.0025722929992318126,0.027657496777896654,0.0060170174822453525
1973,1977,1973_1977,2400,36,0.05695882101133078,0.02979687579934825,0.02924524001868844,0.013361286185743415,0.02040928155144214,0.02293267545030567,0.02488401119329906,0.028243902076357467,0.013570605564372453,0.012766570279254522,0.010399415645276064,0.011798093801473555,0.019209418934591577,0.0176801312074947,0.011848624714751845,0.0025832789499781695,0.005934753688546824,0.008363360345126301,0.02098339235313175,0.015453355741307014,0.00046362939719276974,0.01584623272425376,0.009797708880639371,0.011327388272140146,0.017895029839590626,0.02558836611272283,0.023509069525934404,0.009445056303759362,0.00959536288784255,0.004105541322255451,0.005702463711863266,0.010886695449455178,0.00798683649943595,0.017888888368395427,0.011477474260356578,0.02290198396361399,0.008958975415197386,0.0023228286794151017,0.0259342005906519,0.006857063596206651
1974,1978,1974_1978,2393,37,0.060268343384620164,0.026939544180205142,0.032056481758582965,0.013612237782396603,0.021847487787898263,0.0215324029069937,0.022566383964427988,0.028355147114884984,0.014619573672682783,0.012890168929094144,0.0108073142773448,0.01075531170117013,0.020862112356086357,0.017019336721130554,0.013072042564682548,0.002334333796255302,0.006378653020841468,0.00839421468799108,0.02152566905830849,0.014415459684267985,0.0003723407914385946,0.013983416383689308,0.010059776179002345,0.009367616543176804,0.01743114303718073,0.02512958633566006,0.024231399151068693,0.009724543658207692,0.009936448468363555,0.0031777747076669103,0.0057813367966266654,0.011453959114735256,0.007915534465137026,0.018504442705735594,0.011002591743512511,0.023706774009042156,0.008876344725123707,0.00322291015694712,0.025248538545596277,0.00650397995916486
